ID Proyecto,ID Coleccion,camera_trap,Lat,Lon,Inicio,Fin,No.imagen,Fotode,Fecha,photo_time,T_ambiente,Fase_lunar,Nombre_comun,Clase,Orden,Familia,Genero,Especie,Binomial,N0.Animales,Edad,Sexo,Habitat,Lugar_paso,Notas_Dudas,ID_Carpeta,ID_Foto,Distancia_m,Tecnico
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00175,Animal,30-6-2013,3:21:36 PM,73,decreciente,Ocelote,Mammalia,Carnivora,Felidae,Leopardus,pardalis,Leopardus pardalis,1,A,,Pantano,Cruzado,,C1.1n37,PICT0175,1,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00176,Animal,30-6-2013,3:21:37 PM,73,decreciente,Ocelote,Mammalia,Carnivora,Felidae,Leopardus,pardalis,Leopardus pardalis,1,A,,Pantano,Cruzado,,C1.1n37,PICT0176,1,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00178,Animal,30-6-2013,5:08:27 PM,72,decreciente,Venado colorado,Mammalia,Artiodactyla,Cervidae,Mazama,americana,Mazama americana,1,A,M,Pantano,Transecto,,C1.1n37,PICT0178,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00179,Animal,30-6-2013,5:08:28 PM,73,decreciente,Venado colorado,Mammalia,Artiodactyla,Cervidae,Mazama,americana,Mazama americana,1,A,M,Pantano,Transecto,,C1.1n37,PICT0179,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00180,Animal,30-6-2013,5:08:29 PM,73,decreciente,Venado colorado,Mammalia,Artiodactyla,Cervidae,Mazama,americana,Mazama americana,1,A,M,Pantano,Transecto,,C1.1n37,PICT0180,3,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00181,Animal,1-7-2013,11:46:55 PM,70,decreciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,A,,Pantano,Transecto,,C1.1n37,PICT0181,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00182,Animal,1-7-2013,11:46:56 PM,70,decreciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,A,,Pantano,Transecto,,C1.1n37,PICT0182,3.5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00183,Animal,1-7-2013,11:46:57 PM,70,decreciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,A,,Pantano,Transecto,,C1.1n37,PICT0183,3,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00184,Animal,2-7-2013,2:04:09 AM,70,decreciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,Transecto,,C1.1n37,PICT0184,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00185,Animal,2-7-2013,2:04:10 AM,70,decreciente,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,J,,Pantano,Transecto,,C1.1n37,PICT0185,4.5,Erick Santana
